Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN
1,1,0,5,0,-0.00217034,0.00014821,0,0
1,1,0,5,0,-0.000508932,0.00021724,0,0
1,1,0,5,0,-0.00220307,0.000188579,0,0
1,1,0,5,0,-0.00372904,7.90262e-05,0,0
1,1,0,5,0,-0.005112,-0.000108048,0,0
1,1,0,5,0,-0.00664536,-0.000230639,0,0
1,1,0,5,0,-0.00623045,-0.00022589,0,0
1,1,0,5,0,-0.00297144,-0.000111055,0,0
1,1,0,5,0,-0.00219003,-2.86756e-06,0,0
1,1,0,5,0,-0.00168486,9.84229e-06,0,0
1,1,0,5,0,-0.00120451,8.46085e-05,0,0
1,1,0,5,0,-0.000220214,0.000204731,0,0
1,1,0,5,0,0.000253365,0.000248898,0,0
1,1,0,5,0,-0.000204744,0.000201243,0,0
1,1,0,5,0,-0.000859293,0.000258544,0,0
1,1,0,5,0,-0.00173918,0.000149482,0,0
1,1,0,5,0,-0.00248291,1.48289e-05,0,0
1,1,0,5,0,-0.0023828,6.80963e-06,0,0
1,1,0,5,0,-0.00235107,-7.36431e-05,0,0
1,1,0,5,0,-0.00244009,-0.000118492,0,0
1,1,0,5,0,-0.00253266,-5.90719e-05,0,0
1,1,0,5,0,-0.00220913,-8.3686e-05,0,0
1,1,0,5,0,-0.00226488,-7.63013e-05,0,0
1,1,0,5,0,-0.00177909,-9.36109e-05,0,0
1,1,0,5,0,-0.00132828,-0.000152188,0,0
1,1,0,5,0,-0.00129808,-9.47361e-05,0,0
1,1,0,5,0,-0.00205879,-9.98783e-05,0,0
1,1,0,5,0,-0.00252869,-8.65942e-05,0,0
1,1,0,5,0,-0.00240751,-7.10098e-05,0,0
1,1,0,5,0,-0.00320077,-0.000170587,0,0
1,1,0,5,0,-0.00365508,-0.000196694,0,0
1,1,0,5,0,-0.0034097,-0.00011382,0,0
1,1,0,5,0,-0.00308198,-7.88859e-05,0,0
1,1,0,5,0,-0.00385081,-8.22583e-05,0,0
1,1,0,5,0,-0.00368752,-7.51303e-05,0,0
1,1,0,5,0,-0.00302005,-0.000104661,0,0
1,1,0,5,0,-0.00310703,-0.000201521,0,0
1,1,0,5,0,-0.00361062,-0.000247274,0,0
1,1,0,5,0,-0.0041836,-0.000289416,0,0
1,1,0,5,0,-0.00515516,-0.000392829,0,0
1,1,0,5,0,-0.00495616,-0.000425839,0,0
1,1,0,5,0,-0.00394126,-0.000271776,0,0
1,1,0,5,0,-0.00287585,-0.000106227,0,0
1,1,0,5,0,-0.00223485,8.21069e-05,0,0
1,1,0,5,0,-0.00247777,0.000230952,0,0
1,1,0,5,0,-0.00384896,0.000149827,0,0
1,1,0,5,0,-0.00473608,4.30393e-05,0,0
1,1,0,5,0,-0.00508395,-0.00011668,0,0
1,1,0,5,0,-0.00494763,-0.000213431,0,0
1,1,0,5,0,-0.00451072,-0.000128156,0,0
1,1,0,5,0,-0.00343222,-6.55832e-05,0,0
1,1,0,5,0,-0.00322727,-0.000139146,0,0
1,1,0,5,0,-0.00337745,-9.92751e-05,0,0
1,1,0,5,0,-0.0035713,-0.000145658,0,0
